6.48,19528.896,0,1
9.009,8692.861,1,0.97
11.538,2036.987,2,0.94
14.067,496.807,3,0.93
16.596,374.211,4,0.92
19.125,115.476,,
21.655,68.481,,
24.184,51.241,,
26.713,42.812,,
29.242,43.377,,
31.771,40.283,,
34.3,31.715,,
36.83,26.356,,
39.359,22.226,,
41.888,27.03,,
44.417,27.512,,
46.946,18.969,,
49.476,15.778,,
52.005,19.205,,
54.534,18.566,,
57.063,15.386,,
59.592,15.303,,
62.121,15.382,,
64.651,14.336,,
67.18,12.925,,
69.709,12.937,,
72.238,12.32,,
74.767,11.609,,
77.296,11.216,,
79.826,11.398,,
82.355,11.179,,
84.884,10.196,,
87.413,10.042,,
89.942,9.73,,
92.471,9.237,,
95.001,9.395,,
97.53,8.668,,
100.059,8.641,,
102.588,8.536,,
105.117,8.361,,
107.646,8.081,,
110.176,8.112,,
112.705,7.589,,
115.234,7.458,,
117.763,7.524,,
120.292,7.236,,
122.821,6.973,,
125.351,7.067,,
127.88,6.772,,
130.409,6.788,,
132.938,6.218,,
135.467,6.536,,
137.997,6.384,,
140.526,6.09,,
143.055,6.044,,
145.584,6.286,,
148.113,5.81,,
150.642,6.002,,
153.172,6.013,,
155.701,5.211,,
158.23,5.532,,
160.759,5.39,,
163.288,5.586,,
165.817,5.3,,
168.347,5.384,,
170.876,5.194,,
173.405,4.905,,
175.934,5.167,,
178.463,5.109,,
180.992,5.129,,
183.522,5.319,,
186.051,4.98,,
188.58,4.888,,
191.109,5.171,,
193.638,5.026,,
196.167,4.9,,
198.697,4.958,,
201.226,4.67,,
203.755,4.819,,
206.284,4.755,,
208.813,4.691,,
211.343,3.998,,
213.872,3.946,,
216.401,4.434,,
218.93,4.345,,
221.459,4.046,,
223.988,4.42,,
226.518,4.082,,
229.047,4.118,,
231.576,3.996,,
234.105,4.278,,
236.634,3.996,,
239.163,3.991,,
241.693,3.729,,
244.222,3.601,,
246.751,3.694,,
249.28,3.523,,
251.809,3.838,,
254.338,3.696,,
256.868,3.913,,
259.397,3.425,,
261.926,3.488,,
264.455,3.44,,
266.984,3.391,,
269.513,3.489,,
272.043,3.319,,
274.572,3.323,,
277.101,3.464,,
279.63,3.326,,
282.159,3.159,,
284.689,3.356,,
287.218,3.301,,
289.747,3.253,,
292.276,2.951,,
294.805,3.862,,
297.334,4.102,,
299.864,6.244,,
302.393,9.239,,
304.922,12.578,,
307.451,16.537,,
309.98,20.218,,
312.509,23.261,,
315.039,25.577,,
317.568,27.345,,
320.097,28.33,,
322.626,28.477,,
325.155,27.995,,
327.684,28.069,,
330.214,28.499,,
332.743,28.854,,
335.272,28.701,,
337.801,28.49,,
340.33,27.922,,
342.859,27.591,,
345.389,27.778,,
347.918,28.002,,
350.447,28.116,,
352.976,28.101,,
355.505,27.954,,
358.035,27.871,,
360.564,27.837,,
363.093,27.939,,
365.622,27.797,,
368.151,27.746,,
370.68,27.88,,
373.21,27.785,,
375.739,27.655,,
378.268,27.498,,
380.797,27.389,,
383.326,27.643,,
385.855,27.622,,
388.385,27.483,,
390.914,27.425,,
393.443,27.537,,
395.972,27.929,,
398.501,29.045,,
401.03,30.146,,
403.56,30.915,,
406.089,31.597,,
408.618,32.11,,
411.147,32.204,,
413.676,32.151,,
416.205,32.231,,
418.735,32.478,,
421.264,32.874,,
423.793,33.331,,
426.322,33.735,,
428.851,34.479,,
431.38,35.198,,
433.91,35.994,,
436.439,36.57,,
438.968,36.918,,
441.497,37.315,,
444.026,37.818,,
446.556,38.451,,
449.085,38.95,,
451.614,39.361,,
454.143,39.824,,
456.672,40.139,,
459.201,40.822,,
461.731,41.415,,
464.26,41.628,,
466.789,41.541,,
469.318,40.884,,
471.847,39.751,,
474.376,38.566,,
476.906,37.001,,
479.435,35.014,,
481.964,32.999,,
484.493,31.26,,
487.022,29.875,,
489.551,28.806,,
492.081,27.896,,
494.61,27.589,,
497.139,27.612,,
499.668,27.706,,
502.197,27.482,,
504.726,27.208,,
507.256,27.098,,
509.785,27.074,,
512.314,27.139,,
514.843,27.546,,
517.372,27.941,,
519.902,28.06,,
522.431,27.845,,
524.96,27.392,,
527.489,27.003,,
530.018,26.727,,
532.547,26.168,,
535.077,25.847,,
537.606,25.674,,
540.135,25.315,,
542.664,24.897,,
545.193,24.633,,
547.722,24.638,,
550.252,24.736,,
552.781,24.523,,
555.31,24.416,,
557.839,24.57,,
560.368,24.765,,
562.897,24.897,,
565.427,24.855,,
